Data Source	World Development Indicators																																																												
																																																													
Last Updated Date	3/23/17																																																												
																																																													
Country Name	Country Code	Indicator Name	Indicator Code	1960	1961	1962	1963	1964	1965	1966	1967	1968	1969	1970	1971	1972	1973	1974	1975	1976	1977	1978	1979	1980	1981	1982	1983	1984	1985	1986	1987	1988	1989	1990	1991	1992	1993	1994	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	avg	2015	2016
Cuba	CUB	"Government expenditure on education, total (% of GDP)"	SE.XPD.TOTL.GD.ZS																					8.36909008											7.14496994		7.074769974	5.619480133				6.208660126	6.755080223	7.70486021	8.357850075	9.571200371	9.940779686	10.26828003	10.55768967	9.057290077	11.86828995	14.05908012	13.12516022	12.83726978					11.68186569		
Curacao	CUW	"Government expenditure on education, total (% of GDP)"	SE.XPD.TOTL.GD.ZS																																																						4.929900169		4.929900169		
Cayman Islands	CYM	"Government expenditure on education, total (% of GDP)"	SE.XPD.TOTL.GD.ZS																																																								#DIV/0!		
Cyprus	CYP	"Government expenditure on education, total (% of GDP)"	SE.XPD.TOTL.GD.ZS																4.335020065	3.819700003	3.385489941	3.312340021	3.353130102	3.426009893	3.791320086	3.731780052		3.601910114	3.586960077	3.488970041	3.448709965	3.375469923	3.376270056	3.339240074	3.5753901	3.780299902	4.09555006	4.159969807	3.748130083				4.796909809	5.017789841	5.149650097	5.618299961	6.717370033	6.173289776	6.342740059	6.395549774	6.347439766	6.808990002	7.304150105	6.661910057	6.64467001				6.584842443		
Czech Republic	CZE	"Government expenditure on education, total (% of GDP)"	SE.XPD.TOTL.GD.ZS																																	3.790210009	4.201290131	4.697599888	4.563849926	4.28387022		3.603569984	3.693239927	3.661299944	3.756789923	3.982980013	4.150050163	4.02052021	3.898689985	4.223919868	3.875	3.752729893	4.180409908	4.073520184	4.284080029	4.27011013			4.064331134		
Germany	DEU	"Government expenditure on education, total (% of GDP)"	SE.XPD.TOTL.GD.ZS																																		4.41381979	4.334879875	4.422699928	4.486939907		4.453450203								4.279300213	4.343029976	4.409540176	4.880479813	4.913680077	4.807799816	4.939400196			4.65331861		
Djibouti	DJI	"Government expenditure on education, total (% of GDP)"	SE.XPD.TOTL.GD.ZS																																								7.629479885	9.659999847	7.805399895	8.447589874	8.889889717	9.264670372	8.365889549	8.278779984	8.40625			4.49022007					7.761161995		
Dominica	DMA	"Government expenditure on education, total (% of GDP)"	SE.XPD.TOTL.GD.ZS																														5.178329945									7.160590172	4.991839886																#DIV/0!		
Denmark	DNK	"Government expenditure on education, total (% of GDP)"	SE.XPD.TOTL.GD.ZS											6.029429913	6.482749939	6.556379795	6.32186985	6.631959915	6.750380039		5.68558979	5.761260033	5.590970039	5.932620049						5.856770039	6.09280014	6.359600067	5.865399837		5.607220173		7.785470009	7.471889973	7.471030235	7.884940147		8.106730461	7.931169987	8.084349632	8.215419769	8.213040352	8.121939659	8.211890221	8.08273983	7.727839947	7.613790035	7.492350101	8.487979889	8.617970467	8.547120094				8.097710073		
Dominican Republic	DOM	"Government expenditure on education, total (% of GDP)"	SE.XPD.TOTL.GD.ZS											2.640969992												1.597540021	1.565459967	1.497789979	1.210190058								0.780189991	0.90279001	1.048480034	1.234680057				1.912610054	2.023699999	1.97100997	1.876360059				2.051239967								2.051239967		
Algeria	DZA	"Government expenditure on education, total (% of GDP)"	SE.XPD.TOTL.GD.ZS																				7.182010174	6.597420216																												4.33701992							4.33701992		
East Asia & Pacific (excluding high income)	EAP	"Government expenditure on education, total (% of GDP)"	SE.XPD.TOTL.GD.ZS																																				2.445254982	2.896309972	3.756049991			4.260559916	2.743324995	2.997080088		2.748460054			3.078419924	3.508500099		4.077705026					3.353271276		
Early-demographic dividend	EAR	"Government expenditure on education, total (% of GDP)"	SE.XPD.TOTL.GD.ZS																																								4.22040987	4.006875038	4.347380161	3.754745007	3.949249983	3.366425037		3.835420012	3.531625032	4.057650089		4.075739861					3.773372006		
East Asia & Pacific	EAS	"Government expenditure on education, total (% of GDP)"	SE.XPD.TOTL.GD.ZS																					2.955329895		3.903290033													3.105414987						3.571290016	3.828769922		3.853950024	3.692640066	3.905100107	3.463680029	3.508500099	4.669819832	3.781349897	4.708650112	4.537680149	3.789409995		3.991078031		
Europe & Central Asia (excluding high income)	ECA	"Government expenditure on education, total (% of GDP)"	SE.XPD.TOTL.GD.ZS																																					3.450630069			3.618079901	3.256629944	3.290529966	3.227319956	3.35405004	3.214375019	3.512150049	3.403480053	3.652970076	4.101749897	4.227964878		3.935110092	4.018030167			3.758228779		
Europe & Central Asia	ECS	"Government expenditure on education, total (% of GDP)"	SE.XPD.TOTL.GD.ZS																																				4.634575129	4.667094946		4.461780071	4.521550179	4.297150135	4.680490017	4.657929897	5.087320089	4.911809921	4.972295046	4.944770098	4.713879824	5.040764809	5.309169769	5.350960016	5.005400181	4.790944815			5.004443831		
Ecuador	ECU	"Government expenditure on education, total (% of GDP)"	SE.XPD.TOTL.GD.ZS											2.002830029	1.879400015						2.418839931							4.203420162	5.2333498	6.87237978									1.997640014			2.195369959	1.547340035	1.150930047										4.075739861	4.314549923	4.165699959			4.185329914		
"Egypt, Arab Rep."	EGY	"Government expenditure on education, total (% of GDP)"	SE.XPD.TOTL.GD.ZS												4.74202013	4.726359844		5.488530159	5.008460045	5.027369976	4.534430027	4.861710072		4.249800205		5.304150105	5.642350197					4.519370079	4.591589928			4.096389771	4.197700024	4.583759785	4.604000092	4.671569824							4.945630074	4.6707201	4.794429779	4.001780033	3.68460989	3.760829926							4.182473946		
Euro area	EMU	"Government expenditure on education, total (% of GDP)"	SE.XPD.TOTL.GD.ZS												3.727754951			4.227620125	4.721869946	4.356269836		4.332499981	4.793360233		5.105355024	5.066190004	4.843484879	4.81910491		4.833879948	4.602769852	4.565165043		4.54872489	4.802444935		4.840469837	4.706465006	4.710605145	4.801795006		4.598649979	4.801280022	4.893640041	5.335050106	5.409160137	5.108510017	5.078465223	5.070740223	4.908010006	4.818844795	5.201539993	5.578160048	5.541034937	5.319065094	5.196375132			5.190248383		
Eritrea	ERI	"Government expenditure on education, total (% of GDP)"	SE.XPD.TOTL.GD.ZS																																					1.638550043		4.620580196	5.26281023		4.047160149	3.523900032		3.148969889		2.127000093									2.637984991		
Spain	ESP	"Government expenditure on education, total (% of GDP)"	SE.XPD.TOTL.GD.ZS											1.838000059	1.894430041	2.070270061		1.463529944		1.904569983	2.082819939	2.236799955	2.344419956								3.136699915	3.337369919	3.561450005	3.643490076	3.752540112	3.847609997	4.256450176	4.496890068	4.44671011	4.468520164		4.302959919	4.27052021	4.176370144	4.119880199	4.136030197	4.167170048	4.148290157	4.130030155	4.167600155	4.233310223	4.500999928	4.867809772	4.819240093	4.866509914	4.418900013	4.304940224		4.445763063		
Estonia	EST	"Government expenditure on education, total (% of GDP)"	SE.XPD.TOTL.GD.ZS																																				6.088960171	6.114689827	6.45720005	6.298600197	6.68735981	5.340209961	5.236480236	5.468679905	5.294620037	4.911809921	4.844850063		4.66395998	5.517509937	5.9541502	5.526269913	5.017380238	4.694310188			5.141280055		
Ethiopia	ETH	"Government expenditure on education, total (% of GDP)"	SE.XPD.TOTL.GD.ZS																							2.112349987	2.302059889	2.112030029	2.337569952	2.137949944							2.3542099			2.774620056	2.757940054			3.983109951	3.700289965	3.632450104				5.490940094	5.451109886	5.408199787	4.422070026	4.496590137	5.485770226	5.566770077	4.498549938		5.102500021		
European Union	EUU	"Government expenditure on education, total (% of GDP)"	SE.XPD.TOTL.GD.ZS																																4.96649003	5.010640144	4.950489998	4.742090225	4.764920235	4.761610031		4.569329977	4.605949879	4.873390198	5.236480236	5.22110486	5.105585098	5.042290211	5.158790112	5.159374952	4.871769905	5.099179983	5.562150002	5.402890205	5.12127018	4.813099861			5.136757268		
Fragile and conflict affected situations	FCS	"Government expenditure on education, total (% of GDP)"	SE.XPD.TOTL.GD.ZS																																																								#DIV/0!		
Finland	FIN	"Government expenditure on education, total (% of GDP)"	SE.XPD.TOTL.GD.ZS											5.409470081	5.327439785	5.004489899	5.089590073	4.478970051	5.029489994	5.224440098			4.793360233	4.822169781	4.829939842	4.776159763	4.851749897	4.695580006	5.041959763	5.096580029	5.198130131	5.064909935	5.070360184	5.335909843	6.332890034	6.515120029	7.483670235	6.855629921	6.809420109	6.8605299			5.869609833	5.716879845	5.847970009	6.024779797	6.174769878	6.168499947	6.036059856	5.938099861	5.686089993	5.84676981	6.485179901	6.540709972	6.482009888	7.192540169	7.179480076		6.355543947		
Fiji	FJI	"Government expenditure on education, total (% of GDP)"	SE.XPD.TOTL.GD.ZS																				5.197609901		5.820109844		6.486690044						4.831099987									5.512619972	5.153510094	5.857250214	5.617139816	6.24382019		6.164929867	5.121970177	5.607140064	5.848430157	4.25357008	4.498479843		4.173049927		3.877379894		4.943118751		
France	FRA	"Government expenditure on education, total (% of GDP)"	SE.XPD.TOTL.GD.ZS											3.418400049	3.162810087	3.346199989	3.218450069	4.227620125	4.414249897	4.411779881	4.422440052	4.332499981	4.268089771	4.293990135	4.715119839	4.835830212	4.83521986	4.849579811	4.833580017	4.689199924	4.602769852	4.524040222	4.435150146	4.492280006	4.817440033	4.710989952	5.399879932	5.595699787	5.759079933	5.726160049		5.659100056	5.645279884	5.516739845	5.417029858	5.409160137	5.722939968	5.637020111	5.499810219	5.442110062	5.445189953	5.444029808	5.738480091	5.683420181	5.515860081	5.533430099			5.548816734		
Faroe Islands	FRO	"Government expenditure on education, total (% of GDP)"	SE.XPD.TOTL.GD.ZS																																																								#DIV/0!		
"Micronesia, Fed. Sts."	FSM	"Government expenditure on education, total (% of GDP)"	SE.XPD.TOTL.GD.ZS																																								6.409770012	6.708179951															#DIV/0!		
Gabon	GAB	"Government expenditure on education, total (% of GDP)"	SE.XPD.TOTL.GD.ZS																																	2.805520058						3.419660091	3.081229925	3.827090025															#DIV/0!		
