Data Source	World Development Indicators																																																												
																																																													
Last Updated Date	3/23/17																																																												
																																																													
Country Name	Country Code	Indicator Name	Indicator Code	1960	1961	1962	1963	1964	1965	1966	1967	1968	1969	1970	1971	1972	1973	1974	1975	1976	1977	1978	1979	1980	1981	1982	1983	1984	1985	1986	1987	1988	1989	1990	1991	1992	1993	1994	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	avg	2016
Croatia	HRV	"Adult literacy rate, population 15+ years, both sexes (%)"	SE.ADT.LITR.ZS																																96.70155334										98.14668274										99.12535858				99.27259064	99.19897461	
Haiti	HTI	"Adult literacy rate, population 15+ years, both sexes (%)"	SE.ADT.LITR.ZS																							34.73469162																					58.7439003			48.68502045									60.68935013	60.68935013	
Hungary	HUN	"Adult literacy rate, population 15+ years, both sexes (%)"	SE.ADT.LITR.ZS																					98.85829163														98.98207092										99.02922058										99.05011749	99.38088226	99.21549988	
IBRD only	IBD	"Adult literacy rate, population 15+ years, both sexes (%)"	SE.ADT.LITR.ZS																															73.6420517										82.56357574										87.32906342						87.32906342	
IDA & IBRD total	IBT	"Adult literacy rate, population 15+ years, both sexes (%)"	SE.ADT.LITR.ZS																															69.86119843										77.90583801										82.39069366						82.39069366	
IDA total	IDA	"Adult literacy rate, population 15+ years, both sexes (%)"	SE.ADT.LITR.ZS																															54.1446991										59.46759415										64.43312073						64.43312073	
IDA blend	IDB	"Adult literacy rate, population 15+ years, both sexes (%)"	SE.ADT.LITR.ZS																															63.28808212																				69.03197479						69.03197479	
Indonesia	IDN	"Adult literacy rate, population 15+ years, both sexes (%)"	SE.ADT.LITR.ZS																					67.31266785										81.51985168														90.38478851		91.98226929		92.19229889	92.58170319		92.81191254			95.11621857	95.43768311	94.4552714	
IDA only	IDX	"Adult literacy rate, population 15+ years, both sexes (%)"	SE.ADT.LITR.ZS																															48.29747009										55.44779968										61.65089417						61.65089417	
Isle of Man	IMN	"Adult literacy rate, population 15+ years, both sexes (%)"	SE.ADT.LITR.ZS																																																									#DIV/0!	
