Data Source	World Development Indicators																																																												
																																																													
Last Updated Date	3/23/17																																																												
																																																													
Country Name	Country Code	Indicator Name	Indicator Code	1960	1961	1962	1963	1964	1965	1966	1967	1968	1969	1970	1971	1972	1973	1974	1975	1976	1977	1978	1979	1980	1981	1982	1983	1984	1985	1986	1987	1988	1989	1990	1991	1992	1993	1994	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	avg	2015	2016
IDA & IBRD total	IBT	"Government expenditure per student, secondary (% of GDP per capita)"	SE.XPD.SECO.PC.ZS																																																								#DIV/0!		
IDA total	IDA	"Government expenditure per student, secondary (% of GDP per capita)"	SE.XPD.SECO.PC.ZS																																																								#DIV/0!		
IDA blend	IDB	"Government expenditure per student, secondary (% of GDP per capita)"	SE.XPD.SECO.PC.ZS																																																								#DIV/0!		
Indonesia	IDN	"Government expenditure per student, secondary (% of GDP per capita)"	SE.XPD.SECO.PC.ZS																																																9.486049652	9.419710159	10.97945023	8.272649765	9.059269905	10.26154041	9.86616993	9.95223999	9.662135005		
IDA only	IDX	"Government expenditure per student, secondary (% of GDP per capita)"	SE.XPD.SECO.PC.ZS																																																								#DIV/0!		
Isle of Man	IMN	"Government expenditure per student, secondary (% of GDP per capita)"	SE.XPD.SECO.PC.ZS																																																								#DIV/0!		
India	IND	"Government expenditure per student, secondary (% of GDP per capita)"	SE.XPD.SECO.PC.ZS																																								24.8510704	24.8281002	23.46718025		19.90199089	17.97187042	16.92281914	16.42254066			13.27346039	13.84311962	14.89581966	15.51350021			15.54901859		
Not classified	INX	"Government expenditure per student, secondary (% of GDP per capita)"	SE.XPD.SECO.PC.ZS																																																								#DIV/0!		
Ireland	IRL	"Government expenditure per student, secondary (% of GDP per capita)"	SE.XPD.SECO.PC.ZS																																							16.89882088	16.40718079	15.88403034	16.58535004	17.19231033	18.48324966	20.11613083	20.67469025	21.56677055	22.5427494	26.79064941	28.7841301	27.93308067	27.05651093	25.97779083			24.60472255		
"Iran, Islamic Rep."	IRN	"Government expenditure per student, secondary (% of GDP per capita)"	SE.XPD.SECO.PC.ZS																																										9.398670197	10.97776985	10.9596796	11.18976021	11.11009979	16.48674965	19.42287064	17.37711906	18.14609909	19.01317978	14.74473	14.10978985	18.52246094	15.53300953	15.96871532		
Iraq	IRQ	"Government expenditure per student, secondary (% of GDP per capita)"	SE.XPD.SECO.PC.ZS																																																								#DIV/0!		
Iceland	ISL	"Government expenditure per student, secondary (% of GDP per capita)"	SE.XPD.SECO.PC.ZS																																								18.71525002	18.47975922	20.92308044	21.80879021	21.19692039	22.31492996	22.12491989	22.21318054	20.81340981	20.95738983	21.35450935	20.06291962	20.26799965				21.26365733		
Israel	ISR	"Government expenditure per student, secondary (% of GDP per capita)"	SE.XPD.SECO.PC.ZS																																								18.71277046	17.78199959	18.56254959	18.83036041	18.33255005	17.85317993	17.10981941	17.19668007	15.87985992	17.02367973	15.86721039	15.26200962	15.2658596	15.99847984	16.15333939		16.36101179		
Italy	ITA	"Government expenditure per student, secondary (% of GDP per capita)"	SE.XPD.SECO.PC.ZS																																							26.44968987	26.65512085	25.60651016	28.95323944	25.88814926	27.11301994	25.89057922	25.40159988	26.9072094	23.81531906	25.23278999	25.2442894	23.92585945	22.55127907	22.83111954			24.64444945		
Jamaica	JAM	"Government expenditure per student, secondary (% of GDP per capita)"	SE.XPD.SECO.PC.ZS																																												20.0041008	17.53223038	18.7452507		19.91655922	26.76094055	22.9892292	23.99341965	25.77498055		29.42654037	22.97631073	23.12394015		
Jordan	JOR	"Government expenditure per student, secondary (% of GDP per capita)"	SE.XPD.SECO.PC.ZS																																								15.81396008			17.00902939	18.7551403	17.58959007	19.05343056	16.27762032	16.14319038	14.78936958			15.06247044				16.48594522		
Japan	JPN	"Government expenditure per student, secondary (% of GDP per capita)"	SE.XPD.SECO.PC.ZS																																							19.84103966	20.57226944	20.85100937	20.94136047	21.62422943	22.2383194	22.27577972	22.15155983	22.27656937	22.43115997	22.42991066		24.41373062	25.40238953	25.75358963	25.6683197		23.64477878		
Kazakhstan	KAZ	"Government expenditure per student, secondary (% of GDP per capita)"	SE.XPD.SECO.PC.ZS																																																						19.0450592	19.86177063	19.45341492		
Kenya	KEN	"Government expenditure per student, secondary (% of GDP per capita)"	SE.XPD.SECO.PC.ZS																																									14.29576015	15.69437027		20.14635086	22.0375309		20.90838051									21.4729557		
